firingPattern	region	layer	label	exp
170406_p1_a2	excitatory-burst	SS1	4	positive	1
170406_p1_a1	excitatory	SS1	2/3	negative	1
170406_p1_a3	excitatory-burst	SS1	4	negative	1
170406_p1_a4	excitatory	SS1	5	positive	1
170406_p1_a5	excitatory-burst	SS1	5	negative	1
170406_p1_a6	excitatory-burst	SS1	5	positive	1
170406_p1_a10	excitatory	SS1	5	positive	2
170406_p1_a12	excitatory-burst	SS1	5	negative	2
170406_p1_a8	excitatory	SS1	5	negative	1
170406_p1_a11	excitatory-burst	SS1	5	negative	2
170406_p1_a7	excitatory	SS1	5	positive	1
170406_p1_a9	excitatory	SS1	2/3	negative	2
170406_p1_b1	excitatory	SS1	2/3	positive	3
170406_p1_b2	excitatory	SS1	2/3	positive	3
170406_p1_b3	excitatory	SS1	2/3	negative	3
170406_p1_b4	excitatory	SS1	5	positive	3
170406_p1_b6	excitatory	SS1	5	positive	3
170406_p1_b7	excitatory	SS1	5	negative	3
170406_p1_b8	excitatory	V1	2/3	negative	5
170406_p1_b9	excitatory	V1	2/3	positive	4
170406_p1_b10	excitatory	V1	2/3	positive	5
170406_p1_b11	excitatory	V1	2/3	negative	4
170406_p1_b12	excitatory	V1	2/3	negative	5
170406_p1_c1	excitatory	V1	5	positive	4
170406_p1_c2	excitatory	V1	5	positive	5
170406_p1_c3	excitatory	V1	5	positive	5
170406_p1_c4	excitatory-burst	V1	5	positive	5
170406_p1_c6	excitatory	V1	4	positive	5
170406_p1_c5	excitatory	V1	6	positive	5
170406_p1_c7	excitatory	V1	2/3	negative	5
170406_p1_c8	excitatory	V1	2/3	positive	5
170406_p1_c9	excitatory	V1	5	negative	4
170406_p1_c10	excitatory	V1	2/3	negative	5
170406_p1_c12	excitatory	V1	2/3	negative	4
170406_p1_d1	excitatory	V1	2/3	negative	4
170406_p1_d2	excitatory	V1	4	negative	4
170406_p1_d3	excitatory	V1	4	negative	4
170406_p1_d5	excitatory	V1	2/3	negative	4
170406_p1_d4	excitatory	V1	2/3	negative	5
170406_p1_d6	excitatory	V1	2/3	negative	4
170406_p1_d7	excitatory	V1	2/3	negative	5
170406_p1_d8	excitatory	V1	4	negative	4
170406_p1_d9	excitatory	V1	5	negative	5
170406_p1_d10	excitatory	V1	5	negative	5
170406_p1_d11	excitatory	V1	5	negative	5
170406_p1_d12	excitatory	V1	2/3	negative	7
170406_p1_e1	excitatory	V1	2/3	positive	7
170406_p1_e2	excitatory	V1	2/3	negative	7
170406_p1_e3	excitatory	V1	5	negative	7
170406_p1_e4	excitatory	V1	2/3	negative	7
170406_p1_e5	excitatory	V1	4	negative	7
170406_p1_e6	excitatory	V1	2/3	positive	8
170406_p1_e7	excitatory	V1	2/3	negative	8
170406_p1_e8	excitatory	V1	2/3	positive	6
170406_p1_e9	excitatory	V1	2/3	positive	8
170406_p1_e10	excitatory	V1	2/3	negative	6
170406_p1_e11	excitatory	V1	2/3	negative	8
170406_p1_e12	excitatory	V1	2/3	positive	8
170406_p1_f1	excitatory	V1	5	positive	8
170406_p1_f2	excitatory	V1	5	negative	8
170406_p1_f3	excitatory	V1	2/3	positive	8
170406_p1_f4	excitatory	V1	5	positive	8
170406_p1_f5	excitatory	V1	5	positive	8
170406_p2_b5	excitatory	SS1	2/3	positive	11
170406_p1_f6	excitatory	V1	4	positive	8
170406_p1_f7	excitatory	V1	5	negative	8
170406_p1_f8	excitatory	V1	5	negative	6
170406_p1_f9	excitatory	V1	4	negative	8
170406_p1_f10	excitatory	V1	2/3	positive	10
170406_p1_f11	excitatory	V1	2/3	negative	10
170406_p1_f12	excitatory	V1	2/3	positive	10
170406_p1_g3	excitatory	V1	2/3	negative	10
170406_p1_g2	excitatory	V1	2/3	negative	10
170406_p1_g8	excitatory	V1	2/3	positive	10
170406_p1_g4	excitatory	V1	2/3	positive	10
170406_p1_g1	excitatory	V1	2/3	positive	10
170406_p1_g6	unknown	V1	5	positive	10
170406_p1_g5	excitatory	V1	2/3	negative	10
170406_p1_g7	excitatory-burst	V1	5	negative	10
170406_p1_h2	excitatory	V1	2/3	negative	10
170406_p1_g11	excitatory	V1	2/3	positive	10
170406_p1_h1	excitatory	V1	2/3	negative	10
170406_p1_g12	excitatory	V1	2/3	positive	10
170406_p1_g9	excitatory	V1	2/3	positive	10
170406_p1_h4	excitatory	V1	2/3	negative	10
170406_p1_h3	excitatory	V1	2/3	negative	10
170406_p1_g10	excitatory	V1	2/3	positive	10
170406_p1_h5	excitatory	V1	2/3	negative	10
170406_p1_h6	unknown	V1	2/3	positive	10
170406_p1_h8	excitatory	SS1	5	positive	9
170406_p1_h7	excitatory	SS1	2/3	negative	9
170406_p1_h9	excitatory	SS1	5	positive	9
170406_p1_h10	excitatory	SS1	5	negative	9
170406_p1_h12	excitatory-burst	SS1	5	negative	9
170406_p2_a2	excitatory	SS1	5	positive	9
170406_p2_a3	excitatory	SS1	5	positive	9
170406_p2_a5	excitatory	SS1	5	negative	9
170406_p2_a6	excitatory-burst	SS1	5	positive	9
170406_p2_a7	excitatory-burst	SS1	5	positive	9
170406_p2_a9	excitatory	SS1	2/3	positive	9
170406_p2_a8	excitatory	SS1	5	positive	9
170406_p2_a11	excitatory	SS1	5	negative	9
170406_p2_a12	excitatory	SS1	5	negative	9
170406_p2_b2	excitatory	SS1	5	negative	9
170406_p2_b1	excitatory	SS1	5	positive	9
170406_p2_b3	excitatory	SS1	5	negative	9
170406_p2_b4	excitatory	SS1	5	negative	9
170406_p2_b7	excitatory	SS1	2/3	negative	12
170406_p2_b6	excitatory	SS1	2/3	negative	11
170406_p2_b8	excitatory	SS1	2/3	positive	11
170406_p2_b10	excitatory	SS1	2/3	negative	12
170406_p2_b9	excitatory	SS1	2/3	negative	11
170406_p2_b12	excitatory	SS1	2/3	positive	12
170406_p2_b11	excitatory	SS1	2/3	positive	11
170406_p2_c2	excitatory	SS1	2/3	negative	11
170406_p2_c7	excitatory	SS1	5	negative	11
170406_p2_c4	excitatory	SS1	2/3	negative	11
170406_p2_c3	excitatory	SS1	2/3	positive	11
170406_p2_c6	excitatory	SS1	5	positive	12
170406_p2_c1	excitatory	SS1	5	positive	12
170406_p2_c11	excitatory	SS1	5	negative	11
170406_p2_c10	excitatory	SS1	5	positive	12
170406_p2_c9	excitatory	SS1	5	positive	11
170406_p2_c12	excitatory	SS1	5	negative	12
170406_p2_d2	excitatory	SS1	5	negative	12
170406_p2_d1	excitatory	SS1	5	positive	12
170406_p2_d3	excitatory	SS1	6	positive	11
170406_p2_d4	excitatory	SS1	5	positive	12
170406_p2_d5	excitatory	SS1	5	positive	12
170406_p2_d7	excitatory	SS1	6	positive	11
170406_p2_d6	excitatory	SS1	6	negative	11
170406_p2_d9	excitatory	SS1	6	negative	11
170406_p2_d11	excitatory	SS1	5	negative	12
170406_p2_d10	excitatory	SS1	5	negative	12
170406_p2_d12	excitatory	SS1	6	positive	11
170406_p2_e1	excitatory	unknown	2/3	positive	13
170406_p2_e2	excitatory	unknown	5	positive	13
170406_p2_e4	excitatory	unknown	5	positive	13
170406_p2_e5	excitatory	unknown	6	positive	13
170406_p2_e9	excitatory	unknown	5	negative	13
170406_p2_e3	excitatory	unknown	5	negative	13
170406_p2_e7	excitatory	unknown	5	positive	13
170406_p2_e8	excitatory	unknown	5	negative	13
170406_p2_e6	excitatory	unknown	5	negative	13
170406_p2_f3	excitatory	V1	2/3	negative	14
170406_p2_e12	excitatory	V1	2/3	positive	14
170406_p2_e11	excitatory	V1	2/3	positive	14
170406_p2_e10	excitatory	unknown	2/3	negative	13
170406_p2_f1	excitatory	V1	2/3	negative	14
170406_p2_f2	excitatory	SS1	2/3	positive	15
170406_p2_f4	excitatory	SS1	2/3	negative	15
170406_p2_f8	excitatory	SS1	2/3	negative	15
170406_p2_f7	excitatory	V1	2/3	positive	14
170406_p2_f6	excitatory	SS1	2/3	positive	15
170406_p2_f11	excitatory	V1	2/3	negative	14
170406_p2_f9	excitatory	V1	5	positive	14
170406_p2_f12	excitatory	V1	2/3	negative	14
170406_p2_g1	excitatory	SS1	4	negative	15
170406_p2_g2	excitatory	V1	5	negative	14
170406_p2_g3	excitatory	V1	5	positive	14
170406_p2_g4	excitatory	SS1	4	positive	15
170406_p2_g5	excitatory	V1	5	negative	14
170406_p2_g6	excitatory	SS1	4	negative	15
170406_p2_g7	excitatory	V1	6	positive	14
170406_p2_g9	excitatory	V1	6	negative	14
170406_p2_g8	excitatory	SS1	4	positive	15
170406_p2_g11	excitatory	V1	5	positive	14
170406_p2_g10	excitatory	V1	5	positive	14
170406_p2_g12	excitatory	SS1	4	negative	15
170406_p2_h3	excitatory	V1	6	positive	14
170406_p2_h1	excitatory	V1	5	negative	14
170406_p2_h5	excitatory	V1	6	positive	14
170406_p2_h2	excitatory	SS1	4	negative	15
170406_p2_h4	excitatory	SS1	5	positive	15
170406_p2_h12	excitatory	SS1	4	negative	15
170406_p2_h10	excitatory	V1	6	negative	14
170406_p2_h7	excitatory	V1	2/3	negative	14
170406_p3_a1	excitatory	V1	5	negative	14
170406_p2_h9	excitatory	V1	2/3	positive	14
170406_p3_a2	excitatory	V1	2/3	negative	16
170406_p2_h8	excitatory	SS1	4	positive	15
170406_p2_h6	excitatory	SS1	5	negative	15
170406_p3_a4	excitatory	V1	2/3	positive	16
170406_p2_h11	excitatory	V1	6	negative	14
170406_p3_a6	excitatory	V1	2/3	positive	16
170406_p3_a7	excitatory	V1	2/3	negative	16
170406_p3_a8	excitatory	V1	4	positive	16
170406_p3_a11	excitatory	V1	2/3	positive	16
170406_p3_a12	excitatory	V1	2/3	positive	16
170406_p3_b1	excitatory	V1	2/3	negative	16
170406_p3_b3	excitatory	V1	2/3	negative	16
170406_p3_b4	excitatory	V1	4	positive	16
170406_p3_b6	excitatory	V1	4	negative	16
170406_p3_b7	excitatory	V1	2/3	negative	16
170406_p3_b5	excitatory	V1	4	negative	16
170406_p3_b8	excitatory	V1	5	positive	16
170406_p3_b10	excitatory	V1	5	positive	16
170406_p3_b11	excitatory	V1	5	positive	16
170406_p3_b12	excitatory	V1	5	negative	16
170406_p3_c1	excitatory	V1	5	positive	16
170406_p3_c4	excitatory	V1	5	positive	16
170406_p3_c5	excitatory	V1	5	negative	16
170406_p3_c3	excitatory	V1	5	negative	16
170406_p3_c7	excitatory	V1	4	negative	16
170406_p3_c6	excitatory	V1	5	negative	16
170406_p3_c8	excitatory	V1	5	negative	16
